GRUPO ECONÔMICO;VARIÁVEL;2015-01;2015-02;2015-03;2015-04;2015-05;2015-06;2015-07;2015-08;2015-09;2015-10;2015-11;2015-12
TIM;Taxa de Reabertas;6.52687536916716;6.51776934962776;7.38814911943572;5.98130354399396;9.50590632352585;6.69135633129872;7.69246629004989;7.27245870159285;7.8469813502237;6.49357420296656;7.61791202967674;7.51569427981913
VIVO;Taxa de Reabertas;6.37875101378751;6.53354695009964;6.79036052037828;7.03461698873905;6.14818295739348;6.57292659675882;7.11641299876594;7.08077167691329;8.54179774793344;7.98132341139564;9.82754182754183;8.29015544041451
ALGAR;Taxa de Resolvidas em 5 dias Úteis;69.3877551020408;85.7142857142857;82.122905027933;84.8184818481848;84.7926267281106;83.8862559241706;83.0097087378641;84.5714285714286;84.4827586206897;77.1929824561403;90.3448275862069;85.5172413793103
CLARO;Taxa de Resolvidas em 5 dias Úteis;84.3732559437437;85.3118217927194;85.8018090916973;86.5400295956271;85.683013503909;81.1088736743187;85.4060967810701;87.4906312710041;86.1281691935278;86.3324838558033;85.8886040798889;84.753241831127
OI;Taxa de Resolvidas em 5 dias Úteis;85.1156069364162;85.109305937164;84.6321668557466;84.4539555432832;80.5137289636847;75.105901256208;81.0910640716011;83.8965358621422;85.0037235918943;85.9245383997859;83.7127271235798;82.8956706884315
SERCOMTEL;Taxa de Resolvidas em 5 dias Úteis;100.0;100.0;50.0;0.0;0.0;40.0;75.0;72.7272727272727;50.0;62.5;60.0;56.4102564102564
TIM;Taxa de Resolvidas em 5 dias Úteis;86.3886342804766;86.6137345034127;86.3518815766007;86.5216942681732;86.6174744256247;86.0475142383881;85.8391968069786;85.9703352263197;85.6734745019421;86.2619478171015;85.7023503286942;85.4557362733326
VIVO;Taxa de Resolvidas em 5 dias Úteis;87.8188338638836;86.1919220449089;86.3513063341741;86.952325805829;87.784716643777;86.515155094616;85.6198738509892;85.9448679864559;85.1519292081463;85.8926706022399;81.0424472617153;84.0227088402271
ALGAR;Taxa de Resolvidas no Período;100.0;100.0;99.118;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
CLARO;Taxa de Resolvidas no Período;99.982;99.913;99.721;99.866;99.97;99.882;99.943;99.925;99.923;99.948;99.947;99.911
OI;Taxa de Resolvidas no Período;99.721;99.615;99.135;99.679;99.693;99.721;99.739;99.698;99.705;99.646;99.642;99.632
SERCOMTEL;Taxa de Resolvidas no Período;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
TIM;Taxa de Resolvidas no Período;99.656;99.692;98.959;99.463;99.476;99.666;99.772;99.67;99.592;99.661;99.649;99.538
VIVO;Taxa de Resolvidas no Período;99.925;98.661;99.762;99.689;99.828;99.74;99.576;99.688;99.557;99.811;99.948;99.963
